Date,Forecast
<<<<<<< HEAD
2025-06-16,4006.2004011554895
2025-06-17,4010.1801294274496
2025-06-18,4010.061035660699
2025-06-19,4014.419965671131
2025-06-20,4018.3338508013917
2025-06-23,4022.002047711254
2025-06-24,4025.9096572385047
2025-06-25,4029.7498721164156
2025-06-26,4033.5530134523733
2025-06-27,4037.345497183166
2025-06-30,4041.108552544746
2025-07-01,4044.8452242480475
2025-07-02,4048.557035521944
2025-07-03,4052.2430082757305
2025-07-04,4055.9035516880163
2025-07-07,4059.5389048190195
2025-07-08,4063.149172232648
2025-07-09,4066.734544213618
2025-07-10,4070.2951950908623
2025-07-11,4073.8312912428646
2025-07-14,4077.3430032242404
2025-07-15,4080.8304992646426
2025-07-16,4084.2939461145825
2025-07-17,4087.733509697003
2025-07-18,4091.149354706176
2025-07-21,4094.5416446873514
2025-07-22,4097.91054207717
2025-07-23,4101.256208186192
2025-07-24,4104.578803212198
2025-07-25,4107.87848624939
=======
2025-06-16,4006.200405243885
2025-06-17,4010.180138062059
2025-06-18,4010.0610186298395
2025-06-19,4014.41995321921
2025-06-20,4018.3338386660625
2025-06-23,4022.0020327339225
2025-06-24,4025.909643000363
2025-06-25,4029.749857909597
2025-06-26,4033.552999052003
2025-06-27,4037.345482905786
2025-06-30,4041.108538310809
2025-07-01,4044.845210045748
2025-07-02,4048.5570213761257
2025-07-03,4052.2429941791297
2025-07-04,4055.903537640522
2025-07-07,4059.5388908226673
2025-07-08,4063.1491582870635
2025-07-09,4066.734530319077
2025-07-10,4070.2951812477404
2025-07-11,4073.831277451362
2025-07-14,4077.342989484606
2025-07-15,4080.8304855771225
2025-07-16,4084.293932479406
2025-07-17,4087.7334961143983
2025-07-18,4091.1493411763663
2025-07-21,4094.541631210552
2025-07-22,4097.910528653592
2025-07-23,4101.256194816042
2025-07-24,4104.578789895675
2025-07-25,4107.878472986689
>>>>>>> 8c87f7683e8a441a25808288e9e0fe4bf0acea9c
