iter	Passed	Remaining
0	0	76
1	1	73
2	2	71
3	2	68
4	3	67
5	4	66
6	4	65
7	5	64
8	6	63
9	6	62
10	7	61
11	8	61
12	9	60
13	9	59
14	10	58
15	11	58
16	11	57
17	12	56
18	13	55
19	13	55
20	14	54
21	15	53
22	15	53
23	16	52
24	17	51
25	17	50
26	18	50
27	19	49
28	19	48
29	20	47
30	21	47
31	21	46
32	22	45
33	23	45
34	23	44
35	24	43
36	25	43
37	25	42
38	26	41
39	27	40
40	27	40
41	28	39
42	29	38
43	30	38
44	30	37
45	31	36
46	32	36
47	32	35
48	33	34
49	34	34
50	34	33
51	35	32
52	36	32
53	37	31
54	37	30
55	38	30
56	39	29
57	39	28
58	40	28
59	41	27
60	41	26
61	42	26
62	43	25
63	43	24
64	44	24
65	45	23
66	46	22
67	46	22
68	47	21
69	48	20
70	48	19
71	49	19
72	50	18
73	50	17
74	51	17
75	52	16
76	52	15
77	53	15
78	54	14
79	55	13
80	55	13
81	56	12
82	57	11
83	57	11
84	58	10
85	59	9
86	59	8
87	60	8
88	61	7
89	61	6
90	62	6
91	63	5
92	64	4
93	64	4
94	65	3
95	66	2
96	66	2
97	67	1
98	68	0
99	68	0
