iter	Passed	Remaining
0	0	76
1	1	72
2	2	70
3	2	69
4	3	67
5	4	66
6	4	65
7	5	64
8	6	63
9	6	62
10	7	61
11	8	61
12	8	60
13	9	59
14	10	58
15	11	57
16	11	57
17	12	56
18	13	55
19	13	54
20	14	54
21	15	53
22	15	52
23	16	52
24	17	51
25	17	50
26	18	50
27	19	49
28	19	48
29	20	47
30	21	47
31	21	46
32	22	45
33	23	45
34	23	44
35	24	43
36	25	42
37	25	42
38	26	41
39	27	40
40	27	40
41	28	39
42	29	38
43	29	38
44	30	37
45	31	36
46	31	36
47	32	35
48	33	34
49	33	33
50	34	33
51	35	32
52	36	31
53	36	31
54	37	30
55	38	30
56	38	29
57	39	28
58	40	27
59	40	27
60	41	26
61	42	25
62	42	25
63	43	24
64	44	23
65	44	23
66	45	22
67	46	21
68	47	21
69	47	20
70	48	19
71	49	19
72	49	18
73	50	17
74	51	17
75	51	16
76	52	15
77	53	14
78	53	14
79	54	13
80	55	12
81	55	12
82	56	11
83	57	10
84	57	10
85	58	9
86	59	8
87	59	8
88	60	7
89	61	6
90	62	6
91	62	5
92	63	4
93	64	4
94	64	3
95	65	2
96	66	2
97	66	1
98	67	0
99	67	0
